X--Trace 1::[I(C2:1) | I(PR2)];Y--Trace 1::[I(C2:1) | I(PR2)];;X--Trace 2::[V(out2) | V(PR1)];Y--Trace 2::[V(out2) | V(PR1)]
1.01432E-05;-0.007349033;;1.01432E-05;10.17853905
1.01442E-05;-0.007349035;;1.01442E-05;10.17519858
1.01452E-05;-0.007349036;;1.01452E-05;10.17185811
1.01462E-05;-0.007349037;;1.01462E-05;10.16851764
1.01472E-05;-0.007349039;;1.01472E-05;10.16517717
1.01482E-05;-0.00734904;;1.01482E-05;10.16183669
1.01492E-05;-0.007349041;;1.01492E-05;10.15849622
1.01502E-05;-0.007349043;;1.01502E-05;10.15515575
1.01512E-05;-0.007349044;;1.01512E-05;10.15181527
1.01522E-05;-0.007349045;;1.01522E-05;10.1484748
1.01532E-05;-0.007349047;;1.01532E-05;10.14513432
1.01542E-05;-0.007349048;;1.01542E-05;10.14179385
1.01552E-05;-0.007349049;;1.01552E-05;10.13845337
1.01562E-05;-0.007349051;;1.01562E-05;10.13511289
1.01572E-05;-0.007349052;;1.01572E-05;10.13177242
1.01582E-05;-0.007349053;;1.01582E-05;10.12843194
1.01592E-05;-0.007349054;;1.01592E-05;10.12509146
1.01602E-05;-0.007349056;;1.01602E-05;10.12175098
1.01612E-05;-0.007349057;;1.01612E-05;10.1184105
1.01622E-05;-0.007349058;;1.01622E-05;10.11507002
1.01632E-05;-0.007349059;;1.01632E-05;10.11172954
1.01642E-05;-0.007349061;;1.01642E-05;10.10838905
1.01652E-05;-0.007349062;;1.01652E-05;10.10504857
1.01662E-05;-0.007349063;;1.01662E-05;10.10170809
1.01672E-05;-0.007349064;;1.01672E-05;10.09836761
1.01682E-05;-0.007349066;;1.01682E-05;10.09502712
1.01692E-05;-0.007349067;;1.01692E-05;10.09168664
1.01702E-05;-0.007349068;;1.01702E-05;10.08834615
1.01712E-05;-0.007349069;;1.01712E-05;10.08500567
1.01722E-05;-0.007349071;;1.01722E-05;10.08166518
1.01732E-05;-0.007349072;;1.01732E-05;10.07832469
